Start_Date	End_Date	Carrier	Volume
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	Coach USA	103
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	DeCamp	16
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	Greyhound	58
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	HCEE - Community	99
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	Lakeland	20
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	Martz	17
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	NJ Transit	2140
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	Peter Pan_Bonanza	25
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	Trailways	17
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	TransBridge	15
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	Academy	35
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	C & J Bus Lines	0
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	Coach USA	107
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	DeCamp	16
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	Greyhound	58
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	HCEE - Community	99
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	Lakeland	20
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	Martz	17
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	NJ Transit	2133
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	Peter Pan_Bonanza	31
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	Trailways	18
2021-08-16 00:00:00.000	2021-08-20 00:00:00.000	TransBridge	17
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	Academy	35
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	C & J Bus Lines	0
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	Coach USA	110
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	DeCamp	16
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	Greyhound	59
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	HCEE - Community	90
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	Lakeland	20
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	Martz	17
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	C & J Bus Lines	0
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	Coach USA	125
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	DeCamp	33
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	Greyhound	54
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	HCEE - Community	98
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	Lakeland	29
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	Martz	18
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	NJ Transit	2131
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	Peter Pan_Bonanza	29
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	Trailways	17
2021-11-01 00:00:00.000	2021-11-05 00:00:00.000	TransBridge	18
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	Academy	35
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	C & J Bus Lines	0
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	Coach USA	125
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	DeCamp	37
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	Greyhound	54
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	HCEE - Community	96
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	Lakeland	29
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	Martz	18
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	NJ Transit	2120
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	Peter Pan_Bonanza	29
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	Trailways	18
