Facility,Direction,Freeflow,IsHighCongestion,Month,Year,Avg_Speed,Delta,Temp_Max_Mean_2025,Temp_Min_Mean_2025,Precip_Sum_mm_2025,Snow_Sum_cm_2025
OBX,WB,44.9,0,1,2024,47.1,2.2,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,4,2025,47.3,2.4,16.943333333333335,7.176666666666667,73.1,1.33
BB,WB,45.0,0,4,2025,48.6,3.6,16.943333333333335,7.176666666666667,73.1,1.33
GB,EB,44.9,0,4,2025,43.2,-1.7,16.943333333333335,7.176666666666667,73.1,1.33
GB,WB,44.9,0,4,2025,46.9,2.0,16.943333333333335,7.176666666666667,73.1,1.33
GWB,EB,46.1,1,4,2025,22.8,-23.3,16.943333333333335,7.176666666666667,73.1,1.33
GWB,WB,45.9,1,4,2025,30.8,-15.1,16.943333333333335,7.176666666666667,73.1,1.33
HT,EB,34.9,0,4,2025,29.5,-5.4,16.943333333333335,7.176666666666667,73.1,1.33
HT,WB,32.0,0,4,2025,22.8,-9.2,16.943333333333335,7.176666666666667,73.1,1.33
LT,EB,32.9,1,4,2025,19.0,-13.9,16.943333333333335,7.176666666666667,73.1,1.33
LT,WB,40.0,1,4,2025,25.1,-14.9,16.943333333333335,7.176666666666667,73.1,1.33
OBX,EB,47.9,0,4,2025,48.5,0.6,16.943333333333335,7.176666666666667,73.1,1.33
OBX,WB,44.9,0,4,2025,46.7,1.8,16.943333333333335,7.176666666666667,73.1,1.33
